veh,logfile,line,date,time,secs,speed (mph),long,lat,x-ft,y-ft
C590,1,99806,4/20/2009,18:21:18,18701,0.2,-58.35749399999999,33.470154,-22510003,15477795
C832,1,37994,4/20/2009,18:21:18,17867,32.7,-58.475832999999994,33.488071999999995,-22541317,15484330
C548,1,46597,4/20/2009,18:21:18,18997,13.4,-58.536837000000006,33.494403999999996,-22557563,15486640
C590,1,99808,4/20/2009,18:21:19,18702,0.2,-58.357495,33.470156,-22510004,15477796
C832,1,37995,4/20/2009,18:21:19,17868,34.4,-58.475836,33.488209000000005,-22541314,15484380
C548,1,46602,4/20/2009,18:21:19,18998,14.3,-58.536766,33.494389,-22557545,15486634
C590,1,99816,4/20/2009,18:21:20,18703,0.2,-58.357496,33.470157,-22510004,15477797
C832,1,37996,4/20/2009,18:21:20,17869,34.0,-58.475841,33.488349,-22541310,15484431
C548,1,46603,4/20/2009,18:21:20,18999,14.5,-58.536693,33.494372999999996,-22557526,15486628
C590,1,99818,4/20/2009,18:21:21,18704,0.2,-58.357496,33.470157,-22510004,15477797
C832,1,37997,4/20/2009,18:21:21,17870,27.3,-58.475843999999995,33.488471000000004,-22541306,15484476
C548,1,46604,4/20/2009,18:21:21,19000,16.1,-58.53661600000001,33.494355999999996,-22557505,15486622
C590,1,99820,4/20/2009,18:21:22,18705,0.2,-58.357496,33.470157,-22510004,15477797
C832,1,37998,4/20/2009,18:21:22,17871,17.0,-58.475848,33.488557,-22541304,15484507
C548,1,46605,4/20/2009,18:21:22,19001,18.6,-58.536525999999995,33.494337,-22557482,15486615
C590,1,99822,4/20/2009,18:21:23,18706,0.4,-58.35749399999999,33.470156,-22510003,15477796
C832,1,37999,4/20/2009,18:21:23,17872,6.7,-58.475849999999994,33.4886,-22541303,15484523
C548,1,46610,4/20/2009,18:21:23,19002,20.8,-58.536424,33.494315,-22557455,15486607
C590,1,99887,4/20/2009,18:21:24,18707,2.0,-58.357489,33.470154,-22510002,15477795
C832,1,38057,4/20/2009,18:21:24,17873,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46611,4/20/2009,18:21:24,19003,22.8,-58.536311,33.494291,-22557426,15486598
C590,1,99891,4/20/2009,18:21:25,18708,3.8,-58.357474999999994,33.470153,-22509998,15477795
C832,1,38063,4/20/2009,18:21:25,17874,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46612,4/20/2009,18:21:25,19004,23.9,-58.53618900000001,33.494265000000006,-22557394,15486589
C590,1,99893,4/20/2009,18:21:26,18709,4.3,-58.357454000000004,33.470153,-22509993,15477795
C832,1,38067,4/20/2009,18:21:26,17875,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46613,4/20/2009,18:21:26,19005,24.8,-58.536058999999995,33.494236,-22557359,15486578
C590,1,99895,4/20/2009,18:21:27,18710,4.0,-58.357433,33.470152,-22509987,15477795
C832,1,38068,4/20/2009,18:21:27,17876,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46618,4/20/2009,18:21:27,19006,25.9,-58.535923999999994,33.494206,-22557324,15486568
C590,1,99903,4/20/2009,18:21:28,18711,3.8,-58.357414000000006,33.470151,-22509982,15477794
C832,1,38069,4/20/2009,18:21:28,17877,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46620,4/20/2009,18:21:28,19007,26.6,-58.535785000000004,33.494176,-22557288,15486557
C590,1,99908,4/20/2009,18:21:29,18712,3.6,-58.357395,33.470149,-22509977,15477794
C832,1,38074,4/20/2009,18:21:29,17878,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46621,4/20/2009,18:21:29,19008,26.4,-58.53564399999999,33.494144,-22557251,15486545
C590,1,99910,4/20/2009,18:21:30,18713,4.0,-58.357375000000005,33.47015,-22509971,15477794
C832,1,38075,4/20/2009,18:21:30,17879,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46622,4/20/2009,18:21:30,19009,26.8,-58.535503000000006,33.494112,-22557214,15486533
C590,1,99912,4/20/2009,18:21:31,18714,5.4,-58.357350999999994,33.470152,-22509965,15477795
C832,1,38076,4/20/2009,18:21:31,17880,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46623,4/20/2009,18:21:31,19010,27.5,-58.535359,33.49408,-22557176,15486522
C590,1,99997,4/20/2009,18:21:32,18715,8.7,-58.357313000000005,33.470155,-22509954,15477796
C832,1,38077,4/20/2009,18:21:32,17881,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46624,4/20/2009,18:21:32,19011,28.2,-58.535213999999996,33.494049,-22557138,15486510
C590,1,99999,4/20/2009,18:21:33,18716,11.2,-58.35726,33.470167,-22509940,15477800
C832,1,38082,4/20/2009,18:21:33,17882,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46629,4/20/2009,18:21:33,19012,29.5,-58.535061999999996,33.494017,-22557098,15486499
C590,1,100322,4/20/2009,18:21:34,18717,11.4,-58.357209,33.470197,-22509925,15477811
C832,1,38140,4/20/2009,18:21:34,17883,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46630,4/20/2009,18:21:34,19013,30.2,-58.534904,33.493984000000005,-22557057,15486486
C590,1,100326,4/20/2009,18:21:35,18718,15.4,-58.357170999999994,33.470253,-22509913,15477832
C832,1,38142,4/20/2009,18:21:35,17884,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46631,4/20/2009,18:21:35,19014,30.2,-58.534746,33.493951,-22557015,15486475
C590,1,100337,4/20/2009,18:21:36,18719,22.6,-58.35715400000001,33.470341999999995,-22509905,15477864
C832,1,38146,4/20/2009,18:21:36,17885,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46632,4/20/2009,18:21:36,19015,30.6,-58.534586000000004,33.493919,-22556973,15486463
C590,1,100339,4/20/2009,18:21:37,18720,26.2,-58.357147999999995,33.470447,-22509900,15477902
C832,1,38287,4/20/2009,18:21:37,17886,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46633,4/20/2009,18:21:37,19016,30.2,-58.534425999999996,33.493884,-22556931,15486450
C590,1,100341,4/20/2009,18:21:38,18721,29.1,-58.35714899999999,33.470565,-22509895,15477945
C832,1,38288,4/20/2009,18:21:38,17887,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46634,4/20/2009,18:21:38,19017,29.8,-58.53426999999999,33.49385,-22556890,15486438
C590,1,100343,4/20/2009,18:21:39,18722,31.3,-58.357151,33.470692,-22509892,15477992
C832,1,38289,4/20/2009,18:21:39,17888,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46635,4/20/2009,18:21:39,19018,29.5,-58.53411700000001,33.493815999999995,-22556850,15486425
C590,1,100351,4/20/2009,18:21:40,18723,33.3,-58.357156,33.470828999999995,-22509888,15478042
C832,1,38830,4/20/2009,18:21:40,17889,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46639,4/20/2009,18:21:40,19019,30.2,-58.533962,33.493781,-22556810,15486412
C590,1,100353,4/20/2009,18:21:41,18724,34.7,-58.357161000000005,33.470971999999996,-22509884,15478094
C832,1,38833,4/20/2009,18:21:41,17890,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46641,4/20/2009,18:21:41,19020,30.0,-58.533806999999996,33.493746,-22556769,15486400
C590,1,100355,4/20/2009,18:21:42,18725,35.6,-58.35716600000001,33.471117,-22509880,15478147
C832,1,38972,4/20/2009,18:21:42,17891,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46642,4/20/2009,18:21:42,19021,30.6,-58.533649,33.49371,-22556728,15486387
C590,1,100357,4/20/2009,18:21:43,18726,36.5,-58.357170999999994,33.471267,-22509876,15478201
C832,1,38973,4/20/2009,18:21:43,17892,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46643,4/20/2009,18:21:43,19022,32.2,-58.533484,33.493674,-22556684,15486373
C590,1,100422,4/20/2009,18:21:44,18727,37.4,-58.357175999999995,33.471421,-22509872,15478258
C832,1,38974,4/20/2009,18:21:44,17893,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46644,4/20/2009,18:21:44,19023,33.6,-58.533311,33.493635,-22556639,15486359
C590,1,100426,4/20/2009,18:21:45,18728,38.0,-58.35718100000001,33.471578,-22509868,15478315
C832,1,38977,4/20/2009,18:21:45,17894,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46645,4/20/2009,18:21:45,19024,34.2,-58.53313399999999,33.493595,-22556593,15486345
C590,1,100428,4/20/2009,18:21:46,18729,38.9,-58.357186,33.471737,-22509864,15478373
C832,1,38981,4/20/2009,18:21:46,17895,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46646,4/20/2009,18:21:46,19025,34.7,-58.532954000000004,33.493552,-22556545,15486329
C590,1,100430,4/20/2009,18:21:47,18730,39.4,-58.357192,33.471897,-22509860,15478431
C832,1,39130,4/20/2009,18:21:47,17896,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46647,4/20/2009,18:21:47,19026,35.8,-58.53276899999999,33.493511,-22556497,15486314
C590,1,100441,4/20/2009,18:21:48,18731,39.8,-58.357198999999994,33.472059,-22509855,15478490
C832,1,39132,4/20/2009,18:21:48,17897,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46653,4/20/2009,18:21:48,19027,36.9,-58.532579,33.493468,-22556447,15486298
C590,1,100443,4/20/2009,18:21:49,18732,40.3,-58.35720500000001,33.472221999999995,-22509851,15478550
C832,1,39137,4/20/2009,18:21:49,17898,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46654,4/20/2009,18:21:49,19028,38.0,-58.532381,33.493425,-22556395,15486283
